Symbol,Conf.,Open,High,Low,Close,LTP,Close - LTP,Close - LTP %,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
HATHY,22.84,981.20,981.20,920.00,920.00,920.00,0.00,0.00,949.94,511.00,"1,001.19","485,419.00",17,-81.19,61.20,-8.11,6.65,-3.25,"1,256.84","1,306.37","1,600.00",920.00
HBL,23.41,196.60,196.60,186.30,187.00,187.00,0.00,0.00,189.83,"13,981.00",200.55,"2,654,068.80",232,-13.55,10.30,-6.76,5.53,-1.52,224.36,228.37,286.00,186.30
HDHPC,22.01,178.00,178.00,163.50,165.00,165.00,0.00,0.00,167.67,"13,693.00",181.46,"2,295,906.00",59,-16.46,14.50,-9.07,8.87,-1.62,200.72,201.18,228.80,163.50
HDL,17.22,"1,342.70","1,342.70","1,289.90","1,298.00","1,298.00",0.00,0.00,"1,297.03","31,517.00","1,370.04","40,878,592.50",252,-72.04,52.80,-5.26,4.09,0.07,"1,257.54","1,252.59","1,556.10","1,136.00"
HEI,16.75,560.00,560.00,560.00,560.00,560.00,0.00,0.00,560.00,20.00,570.05,"11,200.00",1,-10.05,0.00,-1.76,0.00,0.00,588.15,605.68,722.00,547.40
HHL,22.49,338.40,340.00,313.60,319.00,319.00,0.00,0.00,324.73,"3,276.00",345.27,"1,063,810.00",29,-26.27,26.40,-7.61,8.42,-1.80,420.59,466.40,635.00,313.60
HIDCL,20.45,265.00,265.00,245.00,250.30,250.30,0.00,0.00,250.71,"22,665.00",270.26,"5,682,290.10",79,-19.96,20.00,-7.39,8.16,-0.16,293.61,280.98,340.00,225.40
HIDCLP,21.41,191.00,192.20,177.00,180.10,180.10,0.00,0.00,183.27,"35,310.00",194.79,"6,471,306.00",56,-14.69,15.20,-7.54,8.59,-1.76,203.65,192.82,239.00,152.90
HIMSTAR,28.68,439.00,473.50,439.00,473.50,473.50,0.00,0.00,465.81,290.00,430.50,"135,085.00",29,43.00,34.50,9.99,7.86,1.62,0.00,0.00,473.50,252.20
HLBSL,23.87,937.00,937.00,937.00,937.00,937.00,0.00,0.00,937.00,10.00,947.94,"9,370.00",1,-10.94,0.00,-1.15,0.00,0.00,972.03,983.23,"1,140.00",817.00
HLI,18.28,385.80,385.80,360.00,362.00,362.00,0.00,0.00,366.14,"11,585.00",393.65,"4,241,762.40",62,-31.65,25.80,-8.04,7.17,-1.14,411.79,425.13,517.90,360.00
HPPL,19.20,456.70,458.10,419.40,419.40,419.40,0.00,0.00,433.46,"7,220.00",465.92,"3,129,605.00",45,-46.52,38.70,-9.98,9.23,-3.35,539.13,530.38,711.00,290.10
HRL,16.93,965.00,965.00,878.00,878.00,878.00,0.00,0.00,893.61,"19,092.00",975.49,"17,060,801.00",141,-97.49,87.00,-9.99,9.91,-1.78,975.31,942.54,"1,156.00",746.20
HURJA,23.06,217.60,219.80,207.00,210.00,210.00,0.00,0.00,214.66,"5,403.00",221.99,"1,159,813.80",22,-11.99,12.80,-5.40,6.18,-2.22,248.16,246.43,283.40,198.00
ICFC,21.32,634.60,634.60,633.00,633.00,633.00,0.00,0.00,634.42,225.00,647.52,"142,745.00",3,-14.52,1.60,-2.24,0.25,-0.22,629.41,640.12,872.00,555.00
IGI,16.76,524.70,524.70,463.00,463.00,463.00,0.00,0.00,483.32,722.00,514.42,"348,956.40",10,-51.42,61.70,-10.00,13.33,-4.39,548.69,564.68,690.80,463.00
IHL,25.08,540.23,540.23,520.00,520.00,520.00,0.00,0.00,527.81,510.00,540.23,"269,184.50",5,-20.23,20.23,-3.74,3.89,-1.50,589.60,636.80,838.00,440.00
ILI,17.16,435.80,435.80,410.10,411.10,411.10,0.00,0.00,419.86,"2,062.00",444.44,"865,742.20",34,-33.34,25.70,-7.50,6.27,-2.13,456.93,466.66,530.00,410.10
JBBL,18.73,320.00,320.00,300.00,309.00,309.00,0.00,0.00,307.32,"1,502.00",325.40,"461,596.20",15,-16.40,20.00,-5.04,6.67,0.54,339.36,347.10,430.90,300.00
JBLB,18.69,"1,390.00","1,390.00","1,305.20","1,314.00","1,314.00",0.00,0.00,"1,336.23","2,292.00","1,416.89","3,062,649.00",39,-102.89,84.80,-7.26,6.50,-1.69,"1,368.17","1,384.52","1,705.00","1,270.70"
JFL,20.10,436.00,436.00,402.70,402.70,402.70,0.00,0.00,406.84,"1,531.00",443.26,"622,876.00",13,-40.56,33.30,-9.15,8.27,-1.03,486.07,540.57,"1,083.30",400.00
JOSHI,24.58,272.00,272.00,261.00,261.00,261.00,0.00,0.00,266.10,"1,370.00",277.43,"364,560.00",12,-16.43,11.00,-5.92,4.21,-1.95,359.21,382.28,521.60,261.00
JSLBB,24.42,"1,164.10","1,164.10","1,164.10","1,164.10","1,164.10",0.00,0.00,"1,164.10",10.00,"1,187.81","11,641.00",1,-23.71,0.00,-2.00,0.00,0.00,"1,364.37","1,455.85","1,860.40","1,164.10"
KBL,21.07,190.50,190.50,179.00,179.00,179.00,0.00,0.00,181.09,"136,694.00",194.38,"24,754,146.00",189,-15.38,11.50,-7.91,6.42,-1.17,207.49,207.97,253.50,179.00
KBSH,26.38,"1,767.70","1,767.70","1,767.70","1,767.70","1,767.70",0.00,0.00,"1,767.70",40.00,"1,803.68","70,708.00",1,-35.98,0.00,-1.99,0.00,0.00,"2,017.76","2,200.29","3,300.00","1,715.00"
KDL,24.55,973.40,973.40,954.00,954.00,954.00,0.00,0.00,958.85,40.00,993.20,"38,354.00",4,-39.20,19.40,-3.95,2.03,-0.51,"1,111.57","1,125.76","1,306.30",954.00
KKHC,32.14,230.00,230.00,230.00,230.00,230.00,0.00,0.00,230.00,100.00,226.39,"23,000.00",2,3.61,0.00,1.59,0.00,0.00,328.08,347.73,475.90,225.00
KMCDB,18.60,"1,020.70","1,020.70",994.80,994.80,994.80,0.00,0.00,"1,009.60",110.00,"1,041.48","111,056.00",6,-46.68,25.90,-4.48,2.60,-1.49,"1,048.63","1,072.12","1,270.00",950.60
KPCL,21.89,532.00,532.00,491.00,501.40,501.40,0.00,0.00,495.04,"5,870.00",542.52,"2,905,907.40",34,-41.12,41.00,-7.58,8.35,1.27,555.08,556.17,711.00,440.00
