Symbol,Conf.,Open,High,Low,Close,VWAP,Vol,Prev. Close,Turnover,Trans.,Diff,Range,Diff %,Range %,VWAP %,120 Days,180 Days,52 Weeks High,52 Weeks Low
MLBL,47.31,395.00,410.00,391.80,405.00,399.76,"37,451.00",399.50,"14,971,415.80",273,5.50,18.20,1.38,4.65,1.29,507.70,546.73,883.00,298.00
MLBS,42.07,"1,160.00","1,193.00","1,160.00","1,170.00","1,173.41",160.00,"1,176.00","187,746.00",14,-6.00,33.00,-0.51,2.84,-0.29,"1,404.73",-,"2,189.10",397.50
MLBSL,35.37,"3,488.00","3,532.00","3,395.00","3,520.00","3,484.33",793.00,"3,533.00","2,763,076.20",47,-13.00,137.00,-0.37,4.04,1.01,"3,795.47","4,130.09","5,749.00","3,029.00"
MMF1,27.43,8.20,8.47,8.04,8.10,8.20,"19,375.00",8.21,"158,779.40",22,-0.11,0.43,-1.34,5.35,-1.17,-,-,10.28,7.87
MMFDB,34.35,"1,125.00","1,144.00","1,122.00","1,139.50","1,125.77","2,230.00","1,145.00","2,510,463.00",26,-5.50,22.00,-0.48,1.96,1.21,"1,344.92","1,449.82","2,095.00","1,120.00"
MNBBL,46.31,475.00,475.00,451.10,469.00,463.57,"20,732.00",468.00,"9,610,736.50",193,1.00,23.90,0.21,5.30,1.16,528.18,591.03,850.00,430.00
MPFL,41.60,280.00,287.00,265.00,284.00,273.60,"13,932.00",280.00,"3,811,770.40",112,4.00,22.00,1.43,8.30,3.66,410.63,454.54,696.00,256.00
MSLB,50.42,"1,313.20","1,313.20","1,260.00","1,300.00","1,284.44",141.00,"1,340.00","181,105.40",11,-40.00,53.20,-2.99,4.22,1.20,"1,555.57","1,717.99","2,496.00","1,173.00"
NABBC,43.79,347.00,362.00,342.00,362.00,347.86,"1,238.00",354.00,"430,656.50",22,8.00,20.00,2.26,5.85,3.90,551.79,656.13,"1,251.10",333.00
NABIL,45.78,915.00,918.00,905.30,914.00,908.88,"24,747.00",910.00,"22,492,071.40",455,4.00,12.70,0.44,1.40,0.56,"1,160.96","1,265.54","1,740.00",880.00
NBBD2085,29.67,"1,069.00","1,069.00","1,069.00","1,069.00","1,069.00",25.00,"1,076.00","26,725.00",1,-7.00,0.00,-0.65,0.00,0.00,-,-,"1,145.00","1,040.00"
NBF2,42.05,10.77,10.78,10.65,10.65,10.72,"1,600.00",10.65,"17,153.00",5,0.00,0.13,0.00,1.22,-0.66,10.77,11.51,17.00,10.00
NBF3,42.40,8.72,8.72,8.56,8.60,8.63,"6,200.00",8.78,"53,522.50",17,-0.18,0.16,-2.05,1.87,-0.38,-,-,10.08,8.33
NBL,46.56,303.10,309.00,303.10,308.50,306.22,"20,566.00",308.00,"6,297,641.50",203,0.50,5.90,0.16,1.95,0.74,356.66,403.32,575.00,296.20
NCCB,37.46,220.10,225.00,220.10,224.00,223.06,"47,100.00",224.00,"10,506,102.10",161,0.00,4.90,0.00,2.23,0.42,262.17,282.56,407.00,217.20
NEF,23.45,10.53,10.53,10.16,10.16,10.23,"38,123.00",10.34,"390,112.90",12,-0.18,0.37,-1.74,3.64,-0.72,10.75,11.67,17.49,9.83
NESDO,31.33,"2,550.00","2,601.00","2,431.00","2,456.00","2,461.46","7,601.00","2,500.00","18,709,561.00",327,-44.00,170.00,-1.76,6.99,-0.22,-,-,"3,312.50",747.70
NFS,40.54,311.70,336.00,301.00,325.00,316.72,"14,945.00",318.00,"4,733,434.80",150,7.00,35.00,2.20,11.63,2.55,581.62,591.36,806.00,290.10
NGPL,48.48,600.00,641.00,590.00,630.00,615.88,"53,666.00",612.00,"33,051,735.60",446,18.00,51.00,2.94,8.64,2.24,646.81,709.92,"1,397.00",315.00
NHDL,43.43,412.00,442.90,403.00,419.00,419.63,"11,062.00",419.00,"4,641,996.60",90,0.00,39.90,0.00,9.90,-0.15,475.63,512.02,840.00,356.60
NHPC,55.12,266.00,290.70,260.80,286.00,277.26,"114,605.00",271.00,"31,775,736.70",610,15.00,29.90,5.54,11.46,3.05,351.65,374.34,530.90,180.00
NIBD2082,34.59,975.10,975.10,965.00,965.00,970.05,100.00,995.00,"97,005.00",2,-30.00,10.10,-3.02,1.05,-0.52,-,-,"1,137.00",965.00
NIBD84,43.84,848.10,849.00,848.00,849.00,848.42,65.00,850.00,"55,147.50",3,-1.00,1.00,-0.12,0.12,0.07,-,-,"1,000.00",847.20
NIBLPF,28.58,11.25,11.25,11.05,11.24,11.11,700.00,11.23,"7,774.00",3,0.01,0.20,0.09,1.81,1.19,10.59,11.09,20.68,9.30
NIBSF2,26.94,8.50,8.63,8.50,8.50,8.51,"3,000.00",8.56,"25,523.00",9,-0.06,0.13,-0.70,1.53,-0.09,9.12,9.38,11.53,8.30
NICA,37.80,780.00,789.00,771.00,786.00,777.65,"27,047.00",775.00,"21,033,118.70",296,11.00,18.00,1.42,2.33,1.06,797.66,830.63,"1,085.00",701.00
NICBF,34.65,10.60,10.70,10.60,10.70,10.60,"31,400.00",10.60,"332,948.00",7,0.10,0.10,0.94,0.94,0.90,10.84,11.37,17.00,9.92
NICGF,44.95,11.52,11.52,11.51,11.51,11.51,"9,780.00",11.51,"112,597.80",5,0.00,0.01,0.00,0.09,-0.03,11.70,12.29,18.12,10.43
NICL,44.54,621.00,645.00,609.20,630.00,618.31,"13,021.00",633.00,"8,051,017.30",83,-3.00,35.80,-0.47,5.88,1.86,799.41,827.68,"1,294.00",609.20
NICLBSL,46.21,960.00,990.00,941.00,973.00,965.42,"1,579.00",979.00,"1,524,398.00",74,-6.00,49.00,-0.61,5.21,0.78,"1,105.87","1,185.02","1,836.00",911.00
NICSF,45.47,8.50,8.64,8.35,8.47,8.50,"13,650.00",8.65,"116,054.50",16,-0.18,0.29,-2.08,3.47,-0.38,9.00,-,10.10,8.21
NIFRA,42.36,296.00,296.90,287.10,290.00,292.21,"63,188.00",292.00,"18,464,425.20",758,-2.00,9.80,-0.68,3.41,-0.76,331.48,351.43,599.00,268.50
NIL,41.35,812.60,840.20,798.00,834.00,808.33,"6,137.00",829.00,"4,960,696.80",133,5.00,42.20,0.60,5.29,3.08,"1,093.61","1,178.30","1,792.00",798.00
NLBBL,34.46,993.00,995.50,968.00,995.50,980.17,"1,579.00",993.00,"1,547,685.00",24,2.50,27.50,0.25,2.84,1.54,"1,125.87","1,233.94","1,885.00",901.80
NLG,35.52,665.00,667.00,650.00,661.00,655.35,"6,314.00",676.00,"4,137,872.10",68,-15.00,17.00,-2.22,2.62,0.85,845.50,883.64,"1,422.00",650.00
NLIC,41.06,890.00,899.00,870.00,888.00,882.90,"44,222.00",887.00,"39,043,505.30",483,1.00,29.00,0.11,3.33,0.57,"1,316.61","1,461.08","2,247.00",870.00
NLICL,38.10,687.00,690.00,670.00,684.00,677.48,"26,160.00",699.90,"17,722,976.80",307,-15.90,20.00,-2.27,2.99,0.95,923.65,969.88,"1,346.00",670.00
NMB,45.94,287.00,290.00,283.00,288.40,286.52,"16,563.00",288.00,"4,745,651.30",170,0.40,7.00,0.14,2.47,0.65,333.48,365.55,517.00,277.00
NMBHF1,30.03,11.35,11.40,11.30,11.40,11.37,"29,000.00",11.48,"329,805.17",10,-0.08,0.10,-0.70,0.88,0.24,11.63,11.97,16.25,10.54
NMBMF,44.55,834.00,835.00,822.10,822.10,827.28,"1,377.00",832.00,"1,139,168.00",31,-9.90,12.90,-1.19,1.57,-0.63,"1,057.16","1,171.40","1,657.00",811.20
NMFBS,41.88,"1,936.00","2,020.00","1,936.00","1,989.00","1,982.41","1,000.00","1,970.00","1,982,414.60",46,19.00,84.00,0.96,4.34,0.33,"2,658.87","2,806.18","3,925.90","1,912.00"
NRIC,47.07,934.00,942.00,898.00,931.00,920.62,"10,583.00",934.00,"9,742,916.50",171,-3.00,44.00,-0.32,4.90,1.11,"1,173.10","1,254.83","2,010.00",898.00
NRN,40.96,532.00,556.00,531.00,556.00,544.62,"8,034.00",539.00,"4,375,451.50",97,17.00,25.00,3.15,4.71,2.05,647.04,679.61,990.00,500.00
NSLB,42.40,894.00,927.00,891.80,927.00,903.39,"1,160.00",910.00,"1,047,931.00",12,17.00,35.20,1.87,3.95,2.55,"1,258.32","1,360.90","1,987.90",891.80
NTC,32.34,962.40,"1,013.90",962.40,996.00,994.83,"14,598.00",982.00,"14,522,548.70",264,14.00,51.50,1.43,5.35,0.12,"1,355.61","1,280.93","1,799.90",933.60
NUBL,45.90,"1,059.00","1,083.00","1,059.00","1,083.00","1,074.93","2,549.00","1,080.00","2,739,994.40",44,3.00,24.00,0.28,2.27,0.75,"1,243.66","1,349.64","1,895.00","1,020.00"
NYADI,47.13,370.00,384.00,351.30,380.00,364.23,"4,429.00",369.00,"1,613,196.20",103,11.00,32.70,2.98,9.31,4.15,-,-,566.00,282.30
OHL,26.42,501.00,501.80,490.00,499.00,491.48,"6,010.00",492.00,"2,953,766.50",25,7.00,11.80,1.42,2.41,1.51,492.65,511.26,761.00,417.00
PBD85,48.12,854.80,854.80,854.80,854.80,854.80,25.00,856.50,"21,370.00",1,-1.70,0.00,-0.20,0.00,0.00,-,-,"1,000.00",850.00
PCBL,37.08,278.60,285.00,278.60,284.80,281.20,"38,737.00",283.00,"10,892,740.40",306,1.80,6.40,0.64,2.30,1.26,347.38,394.35,540.00,275.00
PFL,47.18,384.20,405.00,377.00,403.90,389.95,"4,093.00",392.00,"1,596,045.30",63,11.90,28.00,3.04,7.43,3.46,500.19,559.36,920.00,306.00
PIC,40.75,706.00,724.00,692.00,700.00,703.30,"5,403.00",715.00,"3,799,929.00",99,-15.00,32.00,-2.10,4.62,-0.47,921.84,985.10,"1,372.00",692.00
PICL,42.37,472.50,472.50,438.00,457.00,452.27,"20,060.00",478.00,"9,072,444.50",146,-21.00,34.50,-4.39,7.88,1.04,657.97,682.58,980.00,438.00
PLI,43.34,446.00,455.00,420.00,455.00,437.20,"8,254.00",454.90,"3,608,663.00",197,0.10,35.00,0.02,8.33,3.91,571.01,604.05,861.00,420.00
PMHPL,39.20,245.00,259.00,241.00,258.00,249.32,"9,003.00",250.00,"2,244,620.70",59,8.00,18.00,3.20,7.47,3.36,330.55,338.04,484.00,230.10
PPCL,43.36,340.00,351.00,325.00,343.00,334.85,"15,995.00",334.00,"5,355,877.80",83,9.00,26.00,2.69,8.00,2.38,450.97,458.77,642.00,303.20
PRIN,38.69,590.10,596.00,568.40,585.00,575.73,"8,824.00",601.70,"5,080,240.80",81,-16.70,27.60,-2.78,4.86,1.58,773.43,805.68,"1,162.00",568.40
PROFL,44.53,282.00,296.00,280.00,296.00,287.53,"5,336.00",287.00,"1,534,252.00",56,9.00,16.00,3.14,5.71,2.86,358.81,389.91,574.00,231.00
PRVU,42.09,254.00,260.00,251.00,259.00,255.14,"13,711.00",255.30,"3,498,159.30",145,3.70,9.00,1.45,3.59,1.49,310.47,347.55,525.00,242.00
PSF,29.14,8.62,8.80,8.45,8.80,8.68,"4,949.00",8.77,"42,981.74",15,0.03,0.35,0.34,4.14,1.31,9.11,9.34,11.22,8.45
RADHI,53.74,604.00,675.00,591.00,652.00,635.97,"56,608.00",615.00,"36,001,149.60",586,37.00,84.00,6.02,14.21,2.46,617.21,652.93,"1,340.00",490.20
